Device,DrwSubDrwPkt,MedID,MedDescription,BrandName,Min,Max,CurrentAmount,PickArea,PickAmount,Zone,DeliveryArea,RefillAmount
UTI 4 Piso,AUX Pu 1-Subdiv 1,48350X1,KETOROLAC TROMETAMINA 15 mg/1 ml (2 ml) ampolla,,40,150,100,01 FARMACIA CENTRAL,50,,"UTI 4, UTI-UCO-UTIM",50
UTI 4 Piso,AUX Pu 1-Subdiv 10,18693x1,"ENOXAPARINA 60 mg (0,6 ml) Jeringa prellenada",,15,30,22,01 FARMACIA CENTRAL,8,,"UTI 4, UTI-UCO-UTIM",8
UTI 4 Piso,AUX Pu 1-Subdiv 12,33626x1,LEVOTIROXINA 75 mg comprimido,,10,20,19,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 1-Subdiv 13,7404x1,FOSFATO DE POTASIO 3 mmol/1 ml (10 ml) ampolla,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 1-Subdiv 14,9109X1,"Digoxina 0,25 mg comprimido",,2,5,4,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 1-Subdiv 15,53329X1,"BISOPROLOL 2,5 mg comprimido",,15,40,23,01 FARMACIA CENTRAL,17,,"UTI 4, UTI-UCO-UTIM",17
UTI 4 Piso,AUX Pu 1-Subdiv 18,MED233X1,difenHIDRAMINA 10 MG IM/IV 10 mg/1 ml (1 ml) ampolla,,7,15,11,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,AUX Pu 1-Subdiv 19,29777X1,"Naloxona 0,4 mg/1 ml (1 ml) ampolla",,16,30,25,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,AUX Pu 1-Subdiv 2,32971X1,FITOMENADIONA (VITAMINA K) 10 MG IM/SC/IV 10 mg/1 ml (1 ml) ampolla,,10,20,19,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 1-Subdiv 20,9915x1,NICOTINA 30 cm2 Parche,,5,10,0,01 FARMACIA CENTRAL,10,,"UTI 4, UTI-UCO-UTIM",10
UTI 4 Piso,AUX Pu 1-Subdiv 21,30278X1,LABETALOL 20 mg (4 ml) ampolla,,30,30,27,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,AUX Pu 1-Subdiv 3,45831X1,HEPARINA SODICA 5000 UI/1 ml (5 ml) frasco ampolla,,7,20,15,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,AUX Pu 1-Subdiv 4,MC1552x1,MEROPENEM 1000 mg frasco ampolla,,15,50,46,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,AUX Pu 1-Subdiv 5,9272X1,DICLOFENAC SODICO IM/IV (ALERTA: ALCOHOL 25 mg/1 ml (3 ml) ampolla,,10,20,14,01 FARMACIA CENTRAL,6,,"UTI 4, UTI-UCO-UTIM",6
UTI 4 Piso,AUX Pu 1-Subdiv 6,32602X1,HIOSCINA 20 mg/1 ml (1 ml) ampolla,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,AUX Pu 1-Subdiv 7,34166X1,ONDANSETRON 2 mg/1 ml (4 ml) ampolla,,10,20,13,01 FARMACIA CENTRAL,7,,"UTI 4, UTI-UCO-UTIM",7
UTI 4 Piso,AUX Pu 1-Subdiv 8,39311X1,CLONIXINATO DE LISINA 200 mg IM/IV 50 mg/1 ml (4 ml) ampolla,,10,20,19,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 1-Subdiv 9,36525X1,NITROGLICERINA IV 5 mg/1 ml (5 ml) ampolla,,30,50,42,01 FARMACIA CENTRAL,8,,"UTI 4, UTI-UCO-UTIM",8
UTI 4 Piso,AUX Pu 2-Subdiv 1,29891X1,HAlopERIDol IM/IV 5 mg/1 ml (1 ml) ampolla,,10,30,20,01 FARMACIA CENTRAL,10,,"UTI 4, UTI-UCO-UTIM",10
UTI 4 Piso,AUX Pu 2-Subdiv 10,40316X1,CIPROFLOxacina 200mg 2 mg/1 ml (100 ml) sachet,,20,40,35,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,AUX Pu 2-Subdiv 11,9955X1,CLORURO de potasio 15 MEQ IV 3 mEq/1 ml (5 ml) ampolla,,100,200,178,01 FARMACIA CENTRAL,22,,"UTI 4, UTI-UCO-UTIM",22
UTI 4 Piso,AUX Pu 2-Subdiv 12,51930X1,DEXMEDETOMIDINA 200 MCG (100 MCG/ML) F.A. X 2 ML INY IV (PRECEDEX 200MCG/2ML) 200 mcg ampolla,PRECEDEX 200MCG/2ML,20,40,35,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,AUX Pu 2-Subdiv 2,2555X1,FUROsemida IM/IV 10 mg/1 ml (2 ml) ampolla,,100,200,100,01 FARMACIA CENTRAL,100,,"UTI 4, UTI-UCO-UTIM",100
UTI 4 Piso,AUX Pu 2-Subdiv 3,41393X1,dexAMETASONA FOSFATO 8 MG IV/IM 4 mg/1 ml (2 ml) ampolla,,100,200,158,01 FARMACIA CENTRAL,42,,"UTI 4, UTI-UCO-UTIM",42
UTI 4 Piso,AUX Pu 2-Subdiv 4,51999X1,IMIpenem+CILASTATINA SODICA 500 mg frasco ampolla,,6,20,18,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,AUX Pu 2-Subdiv 6,22323X1,cefTRIAXONA IV/IM 1000 mg frasco ampolla,,40,80,56,01 FARMACIA CENTRAL,24,,"UTI 4, UTI-UCO-UTIM",24
UTI 4 Piso,AUX Pu 2-Subdiv 7,MED391X1,LIDOcaina JALEA 2 % crema dérmica,,5,20,19,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 2-Subdiv 8,28943x1,ATORVASTATINA 40 mg comprimido,,15,60,59,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 2-Subdiv 9,41920x1,AMIKACINA 500 mg (2 ml) ampolla,,10,30,20,01 FARMACIA CENTRAL,10,,"UTI 4, UTI-UCO-UTIM",10
UTI 4 Piso,AUX Pu 3-Subdiv 1,23548X1,NORADRENALINA 1 mg/1 ml (4 ml) ampolla,,30,80,57,01 FARMACIA CENTRAL,23,,"UTI 4, UTI-UCO-UTIM",23
UTI 4 Piso,AUX Pu 3-Subdiv 11,18080X1,CLORHEXIDINA DIGLUCONATO 0.12% X 200 ML COLUTORIO (PLAC OUT) 10 APLIC (200 ml) suspensión oral,PLAC OUT,5,10,6,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,AUX Pu 3-Subdiv 12,43371X1,levoFLOXAcina 750 mg/100 ml sachet,,6,10,2,01 FARMACIA CENTRAL,8,,"UTI 4, UTI-UCO-UTIM",8
UTI 4 Piso,AUX Pu 3-Subdiv 14,41796X1,METILprednisOLona SUCCINATO IM/IV 500 mg frasco ampolla,,6,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 3-Subdiv 17,24261X1,"Digoxina iny 0,25 mg/1 ml (1 ml) ampolla",,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,AUX Pu 3-Subdiv 18,17678X1,ACETILSALICILICO AC. 100 mg comprimido,,20,50,29,01 FARMACIA CENTRAL,21,,"UTI 4, UTI-UCO-UTIM",21
UTI 4 Piso,AUX Pu 3-Subdiv 19,7847x1,CARBONATO DE CALCIO 1250 mg comprimido,,10,20,19,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 3-Subdiv 2,911X1,CEFAZOLINA 1000 mg frasco ampolla,,30,80,62,01 FARMACIA CENTRAL,18,,"UTI 4, UTI-UCO-UTIM",18
UTI 4 Piso,AUX Pu 3-Subdiv 4,16395x1,LEVOTIROXINA 50 mg comprimido,,10,20,13,01 FARMACIA CENTRAL,7,,"UTI 4, UTI-UCO-UTIM",7
UTI 4 Piso,AUX Pu 3-Subdiv 5,36514x1,VANCOMICINA 1000 mg frasco ampolla,,20,50,49,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 3-Subdiv 6,13530x1,"ENOXAPARINA 40 mg (0,4 ml) Jeringa prellenada",,25,60,41,01 FARMACIA CENTRAL,19,,"UTI 4, UTI-UCO-UTIM",19
UTI 4 Piso,AUX Pu 3-Subdiv 7,MED140X1,AMPIcilina+SULBactan 1500 mg frasco ampolla,,60,100,94,01 FARMACIA CENTRAL,6,,"UTI 4, UTI-UCO-UTIM",6
UTI 4 Piso,AUX Pu 3-Subdiv 8,25800X1,SOLUCION CLORURO DE SODIO HIPERTONICA 20 % (10 ml) ampolla,,25,50,46,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,AUX Pu 4-Subdiv 1,41931X1,VANCOMICINA 500 mg frasco ampolla,,10,30,21,01 FARMACIA CENTRAL,9,,"UTI 4, UTI-UCO-UTIM",9
UTI 4 Piso,AUX Pu 4-Subdiv 10,26917x1,LEVOTIROXINA 125 mg comprimido,,5,10,5,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,AUX Pu 4-Subdiv 11,29402X1,AMLODIPINA 5 mg comprimido,,10,30,28,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,AUX Pu 4-Subdiv 12,25580X1,MIDAZOLAM 15mg IV/IM 5 mg/1 ml (3 ml) ampolla,,25,100,89,01 FARMACIA CENTRAL,11,,"UTI 4, UTI-UCO-UTIM",11
UTI 4 Piso,AUX Pu 4-Subdiv 14,18140X1,RIFAMPICINA 300 mg comprimido,,2,6,5,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 4-Subdiv 15,24283x1,URSODESOXICOLICO AC. 300 mg comprimido,,4,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,AUX Pu 4-Subdiv 2,7227X1,"ENALAPRIL MALEATO 2,5 mg/2 ml (2 ml) frasco ampolla",,3,5,4,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 4-Subdiv 3,23548X1,NORADRENALINA 1 mg/1 ml (4 ml) ampolla,,50,100,54,01 FARMACIA CENTRAL,46,,"UTI 4, UTI-UCO-UTIM",46
UTI 4 Piso,AUX Pu 4-Subdiv 4,22339X1,FENItoina (DIFENILHIDANTOINA) 50 mg/1 ml (2 ml) ampolla,,20,30,26,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,AUX Pu 4-Subdiv 5,30472x1,CEFEPIME 2000 mg frasco ampolla,,20,30,23,01 FARMACIA CENTRAL,7,,"UTI 4, UTI-UCO-UTIM",7
UTI 4 Piso,AUX Pu 4-Subdiv 6,51930X1,DEXMEDETOMIDINA 200 MCG (100 MCG/ML) F.A. X 2 ML INY IV (PRECEDEX 200MCG/2ML) 200 mcg ampolla,PRECEDEX 200MCG/2ML,20,40,35,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,AUX Pu 4-Subdiv 9,16632X1,ALIM ENTERAL NORMOCALÓRICO 1KCAL/ML (OSMOLITE) (1000 ml) sachet,OSMOLITE,4,6,5,,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 5-Subdiv 1,41924X1,GLUCONATO DE CALCIO 100 mg/1 ml (10 ml) ampolla,,10,20,12,01 FARMACIA CENTRAL,8,,"UTI 4, UTI-UCO-UTIM",8
